,best_generalist,default
Chucky,0.80641,0.81664
Decal,0.84753,0.85351
Hammer,0.76898,0.79034
Munster,0.97406,0.97984
Pedro,0.68228,0.73911
binary_alpha_digits,0.94544,0.96555
caltech101,0.84323,0.86797
caltech_birds2010,0.57749,0.60226
caltech_birds2011,0.63619,0.65040
cats_vs_dogs,0.81710,0.87466
cifar10,0.90564,0.91041
cifar100,0.85535,0.86679
coil100,0.85763,0.85516
colorectal_histology,0.94567,0.94963
deep_weeds,0.62861,0.67473
emnist,0.83595,0.86240
eurosat,0.96055,0.97491
fashion_mnist,0.95632,0.96198
horses_or_humans,0.94745,0.96006
kmnist,0.94866,0.94754
oxford_flowers102,0.71296,0.68466
